Left_x,Left_y,Right_x,Right_y
644,272,716,269
643,272,717,268
642,272,717,268
634,270,731,266
634,268,730,264
634,267,730,264
633,267,729,264
632,267,729,263
632,267,729,263
632,267,728,263
633,267,728,263
631,267,728,263
0,0,0,0
0,0,0,0
0,0,0,0
633,268,728,264
632,267,729,263
632,267,729,263
632,267,729,263
633,267,729,263
633,268,729,263
633,267,729,263
633,268,730,263
634,268,730,263
635,268,731,264
635,268,731,264
634,268,731,264
635,268,730,264
635,268,731,264
635,268,730,264
633,268,729,264
633,268,728,264
632,268,728,264
631,268,727,264
631,268,727,264
630,268,727,263
631,268,727,263
632,268,728,263
632,268,728,264
632,268,728,263
632,268,729,263
632,268,728,263
633,268,728,264
634,268,728,264
633,268,728,264
633,268,728,264
632,267,728,263
631,267,728,263
631,266,728,262
633,267,729,262
633,266,730,262
634,266,730,261
634,265,731,260
634,264,731,260
634,264,730,260
632,264,728,260
633,264,728,260
632,264,729,260
633,264,730,259
633,264,730,260
634,264,730,260
633,265,730,261
633,265,729,262
632,266,728,262
632,266,728,263
633,267,728,263
632,267,727,264
633,267,728,264
632,268,729,264
633,268,729,264
633,268,729,264
634,268,730,264
634,269,729,265
634,270,730,266
638,272,744,267
0,0,0,0
630,269,726,264
629,268,726,263
630,269,726,264
628,271,725,266
628,272,724,267
629,273,724,267
629,272,725,266
629,271,731,265
630,270,730,264
631,270,727,265
630,270,727,265
630,270,728,265
632,271,729,265
632,270,730,265
632,271,730,266
633,271,730,266
632,271,734,265
632,271,729,266
631,271,729,266
631,271,728,265
630,270,727,264
629,270,727,264
629,270,727,264
629,270,727,265
629,270,727,265
629,271,727,265
630,270,727,265
631,270,728,265
631,270,727,265
631,270,728,265
631,270,728,265
630,270,727,265
630,270,727,264
630,270,727,264
630,270,727,264
630,270,727,264
630,270,727,265
630,270,726,264
630,270,726,264
631,269,726,264
630,270,726,264
630,269,726,264
630,269,727,264
630,268,727,263
631,269,726,263
630,269,728,263
631,269,727,264
632,270,727,265
632,270,727,265
632,270,732,264
632,270,727,265
0,0,0,0
0,0,0,0
630,270,727,264
631,269,727,264
630,268,727,264
630,268,727,264
631,269,727,264
630,270,727,264
